,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-natural_gas
379,4007.0,4400.0,267.0,10.0,5048.0,3382.0
380,3992.0,4400.0,262.0,11.0,5125.0,3379.0
381,3958.0,4401.0,264.0,10.0,5139.0,3379.0
382,3944.0,4399.0,261.0,10.0,5152.0,3385.0
383,3948.0,4400.0,266.0,10.0,5162.0,3389.0
384,3945.0,4399.0,268.0,11.0,5159.0,3385.0
385,3931.0,4400.0,264.0,12.0,5157.0,3382.0
386,3931.0,4400.0,264.0,12.0,5157.0,3382.0
387,3841.0,4399.0,263.0,11.0,5257.0,3314.0
388,3868.0,4399.0,262.0,11.0,5298.0,3319.0
389,3856.0,4399.0,265.0,11.0,5327.0,3319.0
390,3825.0,4400.0,265.0,10.0,5309.0,3319.0
391,3825.0,4400.0,265.0,10.0,5309.0,3319.0
392,3835.0,4400.0,261.0,12.0,5321.0,3321.0
393,3839.0,4400.0,258.0,14.0,5315.0,3319.0
394,3787.0,4399.0,254.0,15.0,5297.0,3288.0
395,3779.0,4400.0,259.0,16.0,5275.0,3262.0
396,3784.0,4400.0,259.0,15.0,5259.0,3251.0
397,3784.0,4400.0,259.0,15.0,5259.0,3251.0
398,3745.0,4401.0,256.0,14.0,5163.0,3275.0
399,3639.0,4400.0,257.0,14.0,5170.0,3301.0
400,3609.0,4399.0,257.0,14.0,5122.0,3317.0
401,3638.0,4400.0,263.0,15.0,5051.0,3309.0
402,3638.0,4400.0,263.0,15.0,5051.0,3309.0
403,3619.0,4401.0,257.0,20.0,5021.0,3298.0
404,3619.0,4401.0,257.0,20.0,5021.0,3298.0
405,3655.0,4399.0,259.0,18.0,4941.0,3282.0
406,3673.0,4398.0,259.0,19.0,4882.0,3271.0
407,3674.0,4398.0,261.0,21.0,4837.0,3264.0
408,3679.0,4399.0,263.0,21.0,4821.0,3270.0
409,3657.0,4399.0,261.0,20.0,4795.0,3278.0
410,3657.0,4399.0,261.0,20.0,4795.0,3278.0
411,3645.0,4400.0,267.0,24.0,4635.0,3299.0
412,3645.0,4400.0,267.0,24.0,4635.0,3299.0
413,3682.0,4400.0,263.0,25.0,4547.0,3344.0
414,3686.0,4399.0,260.0,24.0,4515.0,3349.0
415,3703.0,4400.0,260.0,22.0,4452.0,3357.0
416,3679.0,4400.0,262.0,23.0,4402.0,3360.0
417,3679.0,4400.0,262.0,23.0,4402.0,3360.0
418,3676.0,4399.0,260.0,26.0,4234.0,3370.0
419,3696.0,4399.0,260.0,29.0,4190.0,3376.0
420,3669.0,4399.0,252.0,31.0,4172.0,3358.0
421,3669.0,4399.0,252.0,31.0,4172.0,3358.0
422,3613.0,4401.0,260.0,39.0,4096.0,3342.0
423,3688.0,4400.0,262.0,45.0,4074.0,3333.0
424,3676.0,4399.0,258.0,50.0,4094.0,3340.0
425,3673.0,4400.0,261.0,52.0,4117.0,3292.0
426,3691.0,4400.0,262.0,54.0,4123.0,3184.0
427,3689.0,4400.0,259.0,58.0,4097.0,3149.0
428,3650.0,4400.0,260.0,60.0,4048.0,3143.0
429,3636.0,4400.0,263.0,61.0,3997.0,3135.0
430,3636.0,4400.0,263.0,61.0,3997.0,3135.0
431,3608.0,4399.0,261.0,65.0,3883.0,3127.0
432,3616.0,4400.0,259.0,68.0,3777.0,3134.0
433,3616.0,4400.0,259.0,68.0,3777.0,3134.0
434,3518.0,4399.0,264.0,73.0,3715.0,3099.0
435,3397.0,4400.0,264.0,75.0,3721.0,3084.0
436,3324.0,4400.0,262.0,72.0,3730.0,3056.0
437,3309.0,4399.0,264.0,73.0,3700.0,3028.0
438,3229.0,4399.0,259.0,76.0,3664.0,3027.0
439,3203.0,4400.0,260.0,84.0,3602.0,3048.0
440,3203.0,4400.0,260.0,84.0,3602.0,3048.0
441,3193.0,4401.0,264.0,94.0,3528.0,3090.0
442,3180.0,4401.0,266.0,102.0,3418.0,2974.0
