,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_atlanta
206,49.0,22.0,80.0,17.0,75.0,54.0,0.0,40.0,8.0,19.0
207,49.0,22.0,80.0,17.0,75.0,54.0,0.0,40.0,8.0,19.0
208,58.0,14.0,76.0,19.0,74.0,48.0,2.0,38.0,13.0,20.0
209,58.0,14.0,76.0,19.0,74.0,48.0,2.0,38.0,13.0,20.0
210,63.0,20.0,4.0,23.0,106.0,50.0,2.0,61.0,19.0,17.0
211,63.0,20.0,4.0,23.0,106.0,50.0,2.0,61.0,19.0,17.0
212,71.0,49.0,4.0,21.0,116.0,49.0,2.0,83.0,22.0,14.0
213,71.0,49.0,4.0,21.0,116.0,49.0,2.0,83.0,22.0,14.0
214,91.0,53.0,8.0,19.0,122.0,57.0,4.0,69.0,27.0,10.0
215,91.0,53.0,8.0,19.0,122.0,57.0,4.0,69.0,27.0,10.0
216,128.0,50.0,11.0,24.0,126.0,66.0,5.0,57.0,32.0,11.0
217,128.0,50.0,11.0,24.0,126.0,66.0,5.0,57.0,32.0,11.0
218,117.0,52.0,15.0,31.0,125.0,78.0,5.0,58.0,23.0,17.0
219,117.0,52.0,15.0,31.0,125.0,78.0,5.0,58.0,23.0,17.0
220,123.0,72.0,22.0,32.0,141.0,69.0,3.0,62.0,31.0,18.0
221,123.0,72.0,22.0,32.0,141.0,69.0,3.0,62.0,31.0,18.0
222,115.0,83.0,18.0,33.0,153.0,75.0,2.0,67.0,44.0,11.0
223,115.0,83.0,18.0,33.0,153.0,75.0,2.0,67.0,44.0,11.0
224,98.0,91.0,27.0,27.0,150.0,91.0,2.0,56.0,43.0,14.0
225,98.0,91.0,27.0,27.0,150.0,91.0,2.0,56.0,43.0,14.0
226,94.0,121.0,32.0,20.0,135.0,99.0,3.0,51.0,37.0,15.0
227,94.0,121.0,32.0,20.0,135.0,99.0,3.0,51.0,37.0,15.0
228,109.0,117.0,32.0,19.0,118.0,135.0,3.0,38.0,39.0,10.0
229,109.0,117.0,32.0,19.0,118.0,135.0,3.0,38.0,39.0,10.0
230,149.0,108.0,53.0,24.0,116.0,120.0,3.0,47.0,40.0,9.0
231,149.0,108.0,53.0,24.0,116.0,120.0,3.0,47.0,40.0,9.0
232,117.0,103.0,45.0,31.0,103.0,143.0,3.0,54.0,39.0,11.0
233,117.0,103.0,45.0,31.0,103.0,143.0,3.0,54.0,39.0,11.0
234,72.0,93.0,20.0,36.0,75.0,117.0,6.0,52.0,36.0,8.0
235,72.0,93.0,20.0,36.0,75.0,117.0,6.0,52.0,36.0,8.0
236,89.0,101.0,3.0,43.0,74.0,88.0,12.0,60.0,33.0,6.0
237,89.0,101.0,3.0,43.0,74.0,88.0,12.0,60.0,33.0,6.0
238,97.0,95.0,0.0,51.0,76.0,110.0,3.0,25.0,36.0,9.0
239,97.0,95.0,0.0,51.0,76.0,110.0,3.0,25.0,36.0,9.0
240,97.0,94.0,8.0,62.0,75.0,157.0,3.0,20.0,41.0,19.0
241,97.0,94.0,8.0,62.0,75.0,157.0,3.0,20.0,41.0,19.0
242,105.0,78.0,10.0,57.0,89.0,114.0,3.0,20.0,44.0,15.0
243,105.0,78.0,10.0,57.0,89.0,114.0,3.0,20.0,44.0,15.0
244,115.0,97.0,15.0,47.0,115.0,146.0,3.0,14.0,51.0,8.0
245,115.0,97.0,15.0,47.0,115.0,146.0,3.0,14.0,51.0,8.0
246,141.0,83.0,30.0,23.0,111.0,271.0,5.0,14.0,70.0,11.0
247,141.0,83.0,30.0,23.0,111.0,271.0,5.0,14.0,70.0,11.0
248,92.0,67.0,21.0,30.0,93.0,122.0,6.0,0.0,116.0,12.0
249,92.0,67.0,21.0,30.0,93.0,122.0,6.0,0.0,116.0,12.0
250,67.0,34.0,13.0,40.0,119.0,116.0,6.0,25.0,16.0,15.0
251,67.0,34.0,13.0,40.0,119.0,116.0,6.0,25.0,16.0,15.0
252,72.0,36.0,6.0,19.0,124.0,113.0,4.0,20.0,18.0,25.0
253,72.0,36.0,6.0,19.0,124.0,113.0,4.0,20.0,18.0,25.0
254,55.0,49.0,6.0,5.0,116.0,135.0,0.0,16.0,20.0,39.0
255,55.0,49.0,6.0,5.0,116.0,135.0,0.0,16.0,20.0,39.0
256,46.0,33.0,0.0,8.0,147.0,184.0,8.0,0.0,0.0,38.0
257,46.0,33.0,0.0,8.0,147.0,184.0,8.0,0.0,0.0,38.0
258,38.0,24.0,0.0,9.0,168.0,178.0,8.0,7.0,0.0,12.0
259,38.0,24.0,0.0,9.0,168.0,178.0,8.0,7.0,0.0,12.0
260,53.0,13.0,0.0,6.0,149.0,182.0,0.0,11.0,8.0,4.0
261,53.0,13.0,0.0,6.0,149.0,182.0,0.0,11.0,8.0,4.0
262,64.0,14.0,0.0,5.0,152.0,223.0,0.0,21.0,13.0,3.0
263,64.0,14.0,0.0,5.0,152.0,223.0,0.0,21.0,13.0,3.0
264,70.0,15.0,0.0,6.0,347.0,273.0,0.0,0.0,15.0,9.0
265,70.0,15.0,0.0,6.0,347.0,273.0,0.0,0.0,15.0,9.0
266,62.0,29.0,0.0,8.0,535.0,156.0,0.0,3.0,13.0,9.0
267,62.0,29.0,0.0,8.0,535.0,156.0,0.0,3.0,13.0,9.0
268,72.0,33.0,0.0,5.0,196.0,110.0,0.0,27.0,14.0,10.0
269,72.0,33.0,0.0,5.0,196.0,110.0,0.0,27.0,14.0,10.0
270,60.0,22.0,0.0,4.0,245.0,125.0,0.0,27.0,20.0,7.0
271,60.0,22.0,0.0,4.0,245.0,125.0,0.0,27.0,20.0,7.0
272,54.0,10.0,0.0,15.0,409.0,129.0,1.0,0.0,18.0,10.0
273,54.0,10.0,0.0,15.0,409.0,129.0,1.0,0.0,18.0,10.0
274,107.0,0.0,0.0,17.0,602.0,134.0,1.0,0.0,29.0,11.0
275,107.0,0.0,0.0,17.0,602.0,134.0,1.0,0.0,29.0,11.0
276,81.0,0.0,13.0,19.0,415.0,116.0,0.0,0.0,54.0,17.0
277,81.0,0.0,13.0,19.0,415.0,116.0,0.0,0.0,54.0,17.0
278,85.0,0.0,42.0,15.0,256.0,122.0,1.0,16.0,70.0,27.0
279,85.0,0.0,42.0,15.0,256.0,122.0,1.0,16.0,70.0,27.0
280,121.0,0.0,60.0,13.0,195.0,45.0,5.0,22.0,38.0,34.0
281,121.0,0.0,60.0,13.0,195.0,45.0,5.0,22.0,38.0,34.0
282,71.0,12.0,60.0,6.0,282.0,52.0,9.0,17.0,16.0,28.0
283,71.0,12.0,60.0,6.0,282.0,52.0,9.0,17.0,16.0,28.0
284,72.0,9.0,0.0,2.0,169.0,70.0,10.0,16.0,25.0,27.0
285,72.0,9.0,0.0,2.0,169.0,70.0,10.0,16.0,25.0,27.0
286,83.0,7.0,0.0,2.0,177.0,54.0,4.0,0.0,9.0,15.0
287,83.0,7.0,0.0,2.0,177.0,54.0,4.0,0.0,9.0,15.0
288,82.0,16.0,0.0,3.0,239.0,42.0,4.0,16.0,8.0,15.0
289,82.0,16.0,0.0,3.0,239.0,42.0,4.0,16.0,8.0,15.0
290,116.0,16.0,0.0,4.0,166.0,35.0,0.0,10.0,11.0,12.0
291,116.0,16.0,0.0,4.0,166.0,35.0,0.0,10.0,11.0,12.0
292,111.0,14.0,10.0,4.0,144.0,36.0,0.0,8.0,9.0,12.0
293,111.0,14.0,10.0,4.0,144.0,36.0,0.0,8.0,9.0,12.0
294,86.0,13.0,10.0,6.0,131.0,31.0,2.0,14.0,10.0,15.0
