,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-wind
377,3195.0,4384.0,250.0,4250.0,3391.0,2.0,12.0
378,3197.0,4385.0,241.0,4248.0,3398.0,2.0,13.0
379,3190.0,4384.0,244.0,4243.0,3387.0,2.0,13.0
380,3212.0,4384.0,252.0,4254.0,3399.0,2.0,15.0
381,3214.0,4383.0,250.0,4321.0,3397.0,2.0,16.0
382,3205.0,4384.0,246.0,4363.0,3402.0,2.0,18.0
383,3184.0,4384.0,245.0,4358.0,3437.0,2.0,18.0
384,3210.0,4385.0,247.0,4375.0,3457.0,2.0,20.0
385,3171.0,4383.0,247.0,4415.0,3473.0,2.0,20.0
386,3179.0,4384.0,245.0,4403.0,3476.0,2.0,19.0
