,electricity-load-nyiso-capitl,electricity-load-nyiso-west,electricity-load-nyiso-millwd,electricity-load-nyiso-hud_valley,electricity-load-nyiso-north,electricity-load-nyiso-centrl,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-nyc,electricity-load-nyiso-longil,electricity-load-nyiso-dunwod,electricity-load-nyiso-overall,electricity-load-nyiso-genese
163,1481.0527,1797.6167,356.158,1114.6333,700.2113,1986.1938,1019.5975,5386.5713,2187.8813,641.1833,17860.7272,1189.628
164,1474.9081,1795.9751,357.6082,1085.0347,692.0517,2019.331,1014.1453,5324.105,2179.3755,637.9474,17765.7598,1185.2778
165,1471.1602,1787.9956,358.5142,1085.819,692.0327,2009.315,1012.5518,5312.784,2171.0186,645.8403,17729.541299999997,1182.5099
166,1476.4453,1773.0571,376.6793,1056.6913,691.6782,2011.8694,1003.2877,5266.08,2161.981,628.2877,17628.0063,1181.9493
167,1461.639,1762.8367,366.943,1083.4895,699.7031,1959.2659,998.8927,5273.3,2136.1338,623.8774,17536.1454,1170.0643
168,1454.6111,1762.3241,364.3232,1056.2035,694.0774,1978.9231,1005.0733,5244.9473,2129.7808,620.5449,17482.488,1171.6793
169,1448.7214,1781.9615,369.9284,1063.0726,694.4661,1995.332,979.9702,5225.995,2111.5703,622.6253,17453.353199999998,1159.7104
170,1438.5171,1769.7268,346.2977,1039.0946,693.9088,1960.606,987.2537,5214.583,2099.7393,620.9038,17318.0954,1147.4646
171,1435.4773,1709.0864,352.8538,1072.533,688.2449,1947.9398,975.1226,5158.618,2082.482,622.3259,17195.1539,1150.4702
172,1425.3716,1736.8292,318.5642,1053.1428,685.5151,1959.2827,968.5497,5148.37,2076.41,611.2234,17122.2244,1138.9657
173,1414.6326,1733.7961,330.6718,1056.4336,682.6184,1915.3792,969.0607,5117.4214,2059.6162,609.1121,17027.7506,1139.0085
174,1407.1395,1736.4323,346.2112,1025.7693,687.6613,1898.6069,959.2996,5054.311,2046.4761,603.026,16897.5598,1132.6266
175,1396.0205,1730.357,330.7272,1034.0051,681.295,1937.169,954.556,5061.8584,2053.3762,615.0349,16924.852700000003,1130.4534
176,1400.1714,1721.6675,339.2446,1012.8859,681.2022,1924.8198,954.5164,5048.5713,2028.135,590.105,16828.2605,1126.9414
177,1392.2708,1728.3408,311.7646,1041.8306,689.4748,1934.2866,948.9854,5009.9062,2018.3662,611.212,16812.2869,1125.8489
